證券代碼,簡稱,年月日,報酬率％
2882   ,國泰金       ,20220808,     0.8743
1102   ,亞泥         ,20220809,     0.8557
2498   ,宏達電       ,20220809,    -1.1589
2882   ,國泰金       ,20220809,    -0.1083
1102   ,亞泥         ,20220810,    -0.6061
2498   ,宏達電       ,20220810,     3.8526
2882   ,國泰金       ,20220810,     0.6508
1102   ,亞泥         ,20220811,     3.0488
2498   ,宏達電       ,20220811,     2.9032
2882   ,國泰金       ,20220811,     1.7241
1102   ,亞泥         ,20220812,    -0.7101
2498   ,宏達電       ,20220812,    -0.9404
2882   ,國泰金       ,20220812,     0.1059
1102   ,亞泥         ,20220815,     0.7151
2498   ,宏達電       ,20220815,     2.0570
2882   ,國泰金       ,20220815,     0.1058
1102   ,亞泥         ,20220816,     0.3550
2498   ,宏達電       ,20220816,    -3.1008
2882   ,國泰金       ,20220816,    -0.4228
1102   ,亞泥         ,20220817,     0.9434
2498   ,宏達電       ,20220817,     4.8000
2882   ,國泰金       ,20220817,     0.7431
1102   ,亞泥         ,20220818,     0.2336
2498   ,宏達電       ,20220818,    -1.9847
2882   ,國泰金       ,20220818,    -0.4215
1102   ,亞泥         ,20220819,    -0.6993
2498   ,宏達電       ,20220819,    -0.4673
2882   ,國泰金       ,20220819,     0.5291
1102   ,亞泥         ,20220822,     0.3521
2498   ,宏達電       ,20220822,    -4.5383
2882   ,國泰金       ,20220822,    -1.3684
1102   ,亞泥         ,20220823,    -0.4678
2498   ,宏達電       ,20220823,    -1.3115
2882   ,國泰金       ,20220823,    -1.0672
1102   ,亞泥         ,20220824,    -0.1175
2498   ,宏達電       ,20220824,    -1.1628
2882   ,國泰金       ,20220824,     0.0000
1102   ,亞泥         ,20220825,     0.3529
2498   ,宏達電       ,20220825,     2.5210
2882   ,國泰金       ,20220825,     0.4315
1102   ,亞泥         ,20220826,     0.3517
2498   ,宏達電       ,20220826,     0.9836
2882   ,國泰金       ,20220826,     0.4296
1102   ,亞泥         ,20220829,    -0.8178
2498   ,宏達電       ,20220829,    -4.7078
2882   ,國泰金       ,20220829,    -2.4599
1102   ,亞泥         ,20220830,     0.0000
2498   ,宏達電       ,20220830,     0.6814
2882   ,國泰金       ,20220830,    -2.5219
1102   ,亞泥         ,20220831,     1.8846
2498   ,宏達電       ,20220831,     5.4146
2882   ,國泰金       ,20220831,     0.2250
1102   ,亞泥         ,20220901,    -2.0809
2498   ,宏達電       ,20220901,    -3.3708
2882   ,國泰金       ,20220901,     0.0000
1102   ,亞泥         ,20220902,    -0.1181
2498   ,宏達電       ,20220902,     6.1462
2882   ,國泰金       ,20220902,    -1.1223
1102   ,亞泥         ,20220905,     0.8274
2498   ,宏達電       ,20220905,    -0.7825
2882   ,國泰金       ,20220905,     0.0000
1102   ,亞泥         ,20220906,     1.8757
2498   ,宏達電       ,20220906,    -5.2050
2882   ,國泰金       ,20220906,     0.4540
1102   ,亞泥         ,20220907,     0.6904
2498   ,宏達電       ,20220907,     0.4992
2882   ,國泰金       ,20220907,    -2.4859
1102   ,亞泥         ,20220908,     0.6857
2498   ,宏達電       ,20220908,     0.6623
2882   ,國泰金       ,20220908,     0.0000
1102   ,亞泥         ,20220912,     0.1135
2498   ,宏達電       ,20220912,     4.1118
2882   ,國泰金       ,20220912,     2.0857
1102   ,亞泥         ,20220913,     0.7937
2498   ,宏達電       ,20220913,    -1.7378
2882   ,國泰金       ,20220913,    -0.9081
1102   ,亞泥         ,20220914,    -0.3375
2498   ,宏達電       ,20220914,     0.6431
2882   ,國泰金       ,20220914,    -1.8328
1102   ,亞泥         ,20220915,     1.2415
2498   ,宏達電       ,20220915,    -2.0767
2882   ,國泰金       ,20220915,     0.5834
1102   ,亞泥         ,20220916,    -1.4493
2498   ,宏達電       ,20220916,    -0.1631
2882   ,國泰金       ,20220916,    -0.6961
1102   ,亞泥         ,20220919,    -0.2262
2498   ,宏達電       ,20220919,     0.1634
2882   ,國泰金       ,20220919,    -0.1168
1102   ,亞泥         ,20220920,    -0.3401
2498   ,宏達電       ,20220920,     2.4470
2882   ,國泰金       ,20220920,     0.7018
1102   ,亞泥         ,20220921,    -0.2275
2498   ,宏達電       ,20220921,     2.7070
2882   ,國泰金       ,20220921,    -1.1614
1102   ,亞泥         ,20220922,     0.0000
2498   ,宏達電       ,20220922,    -2.7907
2882   ,國泰金       ,20220922,    -2.1152
1102   ,亞泥         ,20220923,    -3.4208
2498   ,宏達電       ,20220923,    -3.0303
2882   ,國泰金       ,20220923,     1.0804
1102   ,亞泥         ,20220926,    -3.3058
2498   ,宏達電       ,20220926,    -7.8947
2882   ,國泰金       ,20220926,    -1.4252
1102   ,亞泥         ,20220927,    -0.4884
2498   ,宏達電       ,20220927,     1.0714
2882   ,國泰金       ,20220927,    -1.3253
1102   ,亞泥         ,20220928,    -2.0859
2498   ,宏達電       ,20220928,    -8.1272
2882   ,國泰金       ,20220928,    -2.8083
1102   ,亞泥         ,20220929,     0.3759
2498   ,宏達電       ,20220929,     2.5000
2882   ,國泰金       ,20220929,     0.8794
1102   ,亞泥         ,20220930,    -1.6230
2498   ,宏達電       ,20220930,     2.8143
2882   ,國泰金       ,20220930,    -0.4981
1102   ,亞泥         ,20221003,    -1.0152
2498   ,宏達電       ,20221003,    -0.9124
2882   ,國泰金       ,20221003,    -2.3780
1102   ,亞泥         ,20221004,     1.0256
2498   ,宏達電       ,20221004,     2.9466
2882   ,國泰金       ,20221004,     1.4103
1102   ,亞泥         ,20221005,     1.0152
2498   ,宏達電       ,20221005,    -1.6100
2882   ,國泰金       ,20221005,     3.0341
1102   ,亞泥         ,20221006,     0.8794
2498   ,宏達電       ,20221006,     2.7273
2882   ,國泰金       ,20221006,     0.1227
1102   ,亞泥         ,20221007,    -0.3736
2498   ,宏達電       ,20221007,    -1.0619
2882   ,國泰金       ,20221007,    -0.7353
1102   ,亞泥         ,20221011,    -0.7500
2498   ,宏達電       ,20221011,    -7.6923
2882   ,國泰金       ,20221011,    -2.2222
1102   ,亞泥         ,20221012,     0.2519
2498   ,宏達電       ,20221012,     2.7132
2882   ,國泰金       ,20221012,    -0.1263
1102   ,亞泥         ,20221013,    -2.7638
2498   ,宏達電       ,20221013,    -7.4528
2882   ,國泰金       ,20221013,    -5.3097
1102   ,亞泥         ,20221014,    -0.6460
2498   ,宏達電       ,20221014,     5.4027
2882   ,國泰金       ,20221014,     0.5340
1102   ,亞泥         ,20221017,    -1.1704
2498   ,宏達電       ,20221017,     1.5474
2882   ,國泰金       ,20221017,     0.0000
1102   ,亞泥         ,20221018,    -0.7895
2498   ,宏達電       ,20221018,    -0.9524
2882   ,國泰金       ,20221018,     1.3280
1102   ,亞泥         ,20221019,     0.6631
2498   ,宏達電       ,20221019,    -0.5769
2882   ,國泰金       ,20221019,     0.3932
1102   ,亞泥         ,20221020,    -2.2398
2498   ,宏達電       ,20221020,    -1.3540
2882   ,國泰金       ,20221020,    -1.1749
1102   ,亞泥         ,20221021,     1.0782
2498   ,宏達電       ,20221021,    -3.4314
2882   ,國泰金       ,20221021,    -3.4346
1102   ,亞泥         ,20221024,    -0.2667
2498   ,宏達電       ,20221024,     0.8122
2882   ,國泰金       ,20221024,     1.2312
1102   ,亞泥         ,20221025,    -0.6684
2498   ,宏達電       ,20221025,    -1.2085
2882   ,國泰金       ,20221025,     1.3514
1102   ,亞泥         ,20221026,     0.5384
2498   ,宏達電       ,20221026,    -1.3252
2882   ,國泰金       ,20221026,     2.6667
1102   ,亞泥         ,20221027,    -0.2677
2498   ,宏達電       ,20221027,     3.9256
2882   ,國泰金       ,20221027,     0.0000
1102   ,亞泥         ,20221028,    -0.4027
2498   ,宏達電       ,20221028,    -3.9761
2882   ,國泰金       ,20221028,    -0.6494
1102   ,亞泥         ,20221031,     0.5391
2498   ,宏達電       ,20221031,     4.5549
2882   ,國泰金       ,20221031,    -1.1765
1102   ,亞泥         ,20221101,     0.6702
2498   ,宏達電       ,20221101,     0.7921
2882   ,國泰金       ,20221101,     0.7937
1102   ,亞泥         ,20221102,    -0.1332
2498   ,宏達電       ,20221102,    -0.7859
2882   ,國泰金       ,20221102,     1.0499
1102   ,亞泥         ,20221103,    -0.5333
2498   ,宏達電       ,20221103,     4.3564
2882   ,國泰金       ,20221103,     0.9091
1102   ,亞泥         ,20221104,     0.4021
